id_student,code_module,code_presentation,final_result,total_clicks,median_score,late_submission_pct,engagement_band,score_band
11391,AAA,2013J,Pass,84.0,82.0,0.0,Medium (76-150),High (71-85)
28400,AAA,2013J,Pass,136.0,68.0,40.0,Medium (76-150),Medium (56-70)
30268,AAA,2013J,Withdrawn,22.0,,,Very Low (0-25),
31604,AAA,2013J,Pass,224.0,74.0,0.0,High (151-300),High (71-85)
32885,AAA,2013J,Pass,109.0,63.0,100.0,Medium (76-150),Medium (56-70)
38053,AAA,2013J,Pass,320.0,69.0,20.0,Very High (300+),Medium (56-70)
45462,AAA,2013J,Pass,178.0,68.0,40.0,High (151-300),Medium (56-70)
45642,AAA,2013J,Pass,147.0,72.0,40.0,Medium (76-150),High (71-85)
52130,AAA,2013J,Pass,158.0,72.0,20.0,High (151-300),High (71-85)
53025,AAA,2013J,Pass,245.0,80.0,0.0,High (151-300),High (71-85)
57506,AAA,2013J,Pass,161.0,76.0,0.0,High (151-300),High (71-85)
58873,AAA,2013J,Pass,140.0,73.0,20.0,Medium (76-150),High (71-85)
59185,AAA,2013J,Pass,96.0,78.0,0.0,Medium (76-150),High (71-85)
62155,AAA,2013J,Pass,310.0,75.0,0.0,Very High (300+),High (71-85)
63400,AAA,2013J,Pass,227.0,78.0,0.0,High (151-300),High (71-85)
65002,AAA,2013J,Withdrawn,16.0,67.0,0.0,Very Low (0-25),Medium (56-70)
70464,AAA,2013J,Pass,97.0,60.0,0.0,Medium (76-150),Medium (56-70)
71361,AAA,2013J,Pass,220.0,82.0,0.0,High (151-300),High (71-85)
74372,AAA,2013J,Fail,21.0,54.5,50.0,Very Low (0-25),Low (41-55)
75091,AAA,2013J,Pass,276.0,66.0,20.0,High (151-300),Medium (56-70)
77367,AAA,2013J,Pass,66.0,72.0,20.0,Low (26-75),High (71-85)
91265,AAA,2013J,Pass,176.0,74.0,100.0,High (151-300),High (71-85)
