id_student,code_module,code_presentation,final_result,total_clicks,median_score,late_submission_pct,flag_engagement,flag_score,flag_late,risk_score,risk_category
11391,AAA,2013J,Pass,84.0,82.0,0.0,0,0,0,0,Low Risk
28400,AAA,2013J,Pass,136.0,68.0,40.0,0,0,1,1,Medium Risk
30268,AAA,2013J,Withdrawn,22.0,,,1,1,1,3,Critical Risk
31604,AAA,2013J,Pass,224.0,74.0,0.0,0,0,0,0,Low Risk
32885,AAA,2013J,Pass,109.0,63.0,100.0,0,0,1,1,Medium Risk
38053,AAA,2013J,Pass,320.0,69.0,20.0,0,0,0,0,Low Risk
45462,AAA,2013J,Pass,178.0,68.0,40.0,0,0,1,1,Medium Risk
45642,AAA,2013J,Pass,147.0,72.0,40.0,0,0,1,1,Medium Risk
52130,AAA,2013J,Pass,158.0,72.0,20.0,0,0,0,0,Low Risk
53025,AAA,2013J,Pass,245.0,80.0,0.0,0,0,0,0,Low Risk
57506,AAA,2013J,Pass,161.0,76.0,0.0,0,0,0,0,Low Risk
58873,AAA,2013J,Pass,140.0,73.0,20.0,0,0,0,0,Low Risk
59185,AAA,2013J,Pass,96.0,78.0,0.0,0,0,0,0,Low Risk
62155,AAA,2013J,Pass,310.0,75.0,0.0,0,0,0,0,Low Risk
63400,AAA,2013J,Pass,227.0,78.0,0.0,0,0,0,0,Low Risk
65002,AAA,2013J,Withdrawn,16.0,67.0,0.0,1,0,0,1,Medium Risk
70464,AAA,2013J,Pass,97.0,60.0,0.0,0,0,0,0,Low Risk
71361,AAA,2013J,Pass,220.0,82.0,0.0,0,0,0,0,Low Risk
74372,AAA,2013J,Fail,21.0,54.5,50.0,1,1,1,3,Critical Risk
75091,AAA,2013J,Pass,276.0,66.0,20.0,0,0,0,0,Low Risk
77367,AAA,2013J,Pass,66.0,72.0,20.0,1,0,0,1,Medium Risk
91265,AAA,2013J,Pass,176.0,74.0,100.0,0,0,1,1,Medium Risk
94961,AAA,2013J,Withdrawn,43.0,74.0,0.0,1,0,0,1,Medium Risk
98094,AAA,2013J,Pass,225.0,61.0,0.0,0,0,0,0,Low Risk
100893,AAA,2013J,Pass,92.0,68.0,40.0,0,0,1,1,Medium Risk
101781,AAA,2013J,Pass,565.0,74.0,0.0,0,0,0,0,Low Risk
102806,AAA,2013J,Pass,233.0,80.0,0.0,0,0,0,0,Low Risk
102952,AAA,2013J,Pass,109.0,76.0,0.0,0,0,0,0,Low Risk
104476,AAA,2013J,Pass,424.0,78.0,40.0,0,0,1,1,Medium Risk
106247,AAA,2013J,Withdrawn,56.0,66.0,66.7,1,0,1,2,High Risk
106577,AAA,2013J,Pass,114.0,56.0,20.0,0,0,0,0,Low Risk
110175,AAA,2013J,Pass,64.0,66.0,20.0,1,0,0,1,Medium Risk
111717,AAA,2013J,Pass,298.0,80.0,0.0,0,0,0,0,Low Risk
113295,AAA,2013J,Pass,388.0,77.0,60.0,0,0,1,1,Medium Risk
114017,AAA,2013J,Pass,85.0,72.0,0.0,0,0,0,0,Low Risk
114999,AAA,2013J,Pass,137.0,77.0,40.0,0,0,1,1,Medium Risk
116541,AAA,2013J,Pass,184.0,60.0,80.0,0,0,1,1,Medium Risk
116692,AAA,2013J,Pass,98.0,72.0,0.0,0,0,0,0,Low Risk
118983,AAA,2013J,Pass,46.0,63.0,0.0,1,0,0,1,Medium Risk
123044,AAA,2013J,Pass,187.0,72.0,20.0,0,0,0,0,Low Risk
127582,AAA,2013J,Pass,86.0,69.0,60.0,0,0,1,1,Medium Risk
129955,AAA,2013J,Withdrawn,87.0,82.0,33.3,0,0,1,1,Medium Risk
132976,AAA,2013J,Pass,48.0,65.0,0.0,1,0,0,1,Medium Risk
134143,AAA,2013J,Distinction,298.0,85.0,0.0,0,0,0,0,Low Risk
135335,AAA,2013J,Withdrawn,10.0,,,1,1,1,3,Critical Risk
135400,AAA,2013J,Withdrawn,29.0,61.5,0.0,1,0,0,1,Medium Risk
137873,AAA,2013J,Pass,615.0,81.0,0.0,0,0,0,0,Low Risk
141355,AAA,2013J,Pass,164.0,71.0,20.0,0,0,0,0,Low Risk
141377,AAA,2013J,Withdrawn,11.0,45.0,100.0,1,1,1,3,Critical Risk
142326,AAA,2013J,Pass,204.0,74.0,20.0,0,0,0,0,Low Risk
144801,AAA,2013J,Pass,579.0,65.0,40.0,0,0,1,1,Medium Risk
145130,AAA,2013J,Pass,40.0,49.0,40.0,1,1,1,3,Critical Risk
146188,AAA,2013J,Fail,91.0,52.0,40.0,0,1,1,2,High Risk
147756,AAA,2013J,Fail,59.0,73.5,50.0,1,0,1,2,High Risk
147793,AAA,2013J,Withdrawn,5.0,52.0,100.0,1,1,1,3,Critical Risk
148993,AAA,2013J,Withdrawn,127.0,70.0,100.0,0,0,1,1,Medium Risk
151358,AAA,2013J,Pass,22.0,50.0,0.0,1,1,0,2,High Risk
155550,AAA,2013J,Pass,111.0,66.0,20.0,0,0,0,0,Low Risk
155854,AAA,2013J,Pass,341.0,79.0,0.0,0,0,0,0,Low Risk
155984,AAA,2013J,Withdrawn,127.0,80.0,50.0,0,0,1,1,Medium Risk
157568,AAA,2013J,Pass,144.0,74.0,60.0,0,0,1,1,Medium Risk
159954,AAA,2013J,Withdrawn,144.0,66.5,50.0,0,0,1,1,Medium Risk
164259,AAA,2013J,Pass,35.0,73.0,20.0,1,0,0,1,Medium Risk
167906,AAA,2013J,Pass,158.0,72.0,40.0,0,0,1,1,Medium Risk
168936,AAA,2013J,Pass,110.0,62.0,0.0,0,0,0,0,Low Risk
172112,AAA,2013J,Pass,229.0,72.0,60.0,0,0,1,1,Medium Risk
172797,AAA,2013J,Pass,274.0,60.0,40.0,0,0,1,1,Medium Risk
174782,AAA,2013J,Pass,610.0,80.0,0.0,0,0,0,0,Low Risk
175392,AAA,2013J,Pass,532.0,82.0,0.0,0,0,0,0,Low Risk
175932,AAA,2013J,Pass,126.0,78.0,40.0,0,0,1,1,Medium Risk
175991,AAA,2013J,Fail,10.0,35.0,40.0,1,1,1,3,Critical Risk
180753,AAA,2013J,Pass,233.0,59.0,0.0,0,0,0,0,Low Risk
181316,AAA,2013J,Withdrawn,49.0,76.0,100.0,1,0,1,2,High Risk
183096,AAA,2013J,Pass,149.0,53.0,20.0,0,1,0,1,Medium Risk
183947,AAA,2013J,Pass,97.0,48.0,40.0,0,1,1,2,High Risk
184271,AAA,2013J,Pass,124.0,62.0,0.0,0,0,0,0,Low Risk
185439,AAA,2013J,Fail,80.0,74.0,100.0,0,0,1,1,Medium Risk
186149,AAA,2013J,Pass,304.0,81.0,80.0,0,0,1,1,Medium Risk
187100,AAA,2013J,Distinction,824.0,90.0,0.0,0,0,0,0,Low Risk
188278,AAA,2013J,Withdrawn,100.0,76.0,0.0,0,0,0,0,Low Risk
189879,AAA,2013J,Pass,98.0,83.0,20.0,0,0,0,0,Low Risk
192183,AAA,2013J,Pass,190.0,68.0,20.0,0,0,0,0,Low Risk
195262,AAA,2013J,Withdrawn,276.0,50.0,100.0,0,1,1,2,High Risk
200860,AAA,2013J,Pass,52.0,58.0,20.0,1,0,0,1,Medium Risk
202635,AAA,2013J,Withdrawn,101.0,68.0,100.0,0,0,1,1,Medium Risk
205350,AAA,2013J,Pass,174.0,75.0,0.0,0,0,0,0,Low Risk
205719,AAA,2013J,Fail,25.0,63.0,66.7,1,0,1,2,High Risk
227499,AAA,2013J,Distinction,337.0,84.0,0.0,0,0,0,0,Low Risk
227517,AAA,2013J,Fail,91.0,63.0,0.0,0,0,0,0,Low Risk
228082,AAA,2013J,Pass,19.0,77.0,0.0,1,0,0,1,Medium Risk
228222,AAA,2013J,Pass,43.0,66.0,60.0,1,0,1,2,High Risk
229179,AAA,2013J,Pass,71.0,68.0,0.0,1,0,0,1,Medium Risk
229361,AAA,2013J,Pass,120.0,76.0,0.0,0,0,0,0,Low Risk
231554,AAA,2013J,Pass,159.0,64.5,50.0,0,0,1,1,Medium Risk
235507,AAA,2013J,Withdrawn,14.0,65.0,0.0,1,0,0,1,Medium Risk
236284,AAA,2013J,Pass,45.0,83.0,40.0,1,0,1,2,High Risk
238007,AAA,2013J,Pass,177.0,83.0,0.0,0,0,0,0,Low Risk
240712,AAA,2013J,Pass,42.0,80.0,0.0,1,0,0,1,Medium Risk
240884,AAA,2013J,Pass,45.0,54.0,0.0,1,1,0,2,High Risk
241649,AAA,2013J,Pass,202.0,80.0,0.0,0,0,0,0,Low Risk
241729,AAA,2013J,Fail,207.0,61.0,20.0,0,0,0,0,Low Risk
242793,AAA,2013J,Pass,30.0,77.0,0.0,1,0,0,1,Medium Risk
246834,AAA,2013J,Pass,138.0,56.0,0.0,0,0,0,0,Low Risk
248270,AAA,2013J,Pass,178.0,79.0,60.0,0,0,1,1,Medium Risk
255548,AAA,2013J,Pass,249.0,75.0,80.0,0,0,1,1,Medium Risk
256815,AAA,2013J,Pass,123.0,79.0,60.0,0,0,1,1,Medium Risk
258392,AAA,2013J,Pass,76.0,58.0,40.0,0,0,1,1,Medium Risk
258894,AAA,2013J,Pass,500.0,65.0,40.0,0,0,1,1,Medium Risk
260355,AAA,2013J,Withdrawn,39.0,57.5,100.0,1,0,1,2,High Risk
262011,AAA,2013J,Pass,167.0,71.0,20.0,0,0,0,0,Low Risk
262934,AAA,2013J,Pass,261.0,75.0,0.0,0,0,0,0,Low Risk
268073,AAA,2013J,Fail,315.0,75.0,0.0,0,0,0,0,Low Risk
268733,AAA,2013J,Withdrawn,25.0,43.0,100.0,1,1,1,3,Critical Risk
271251,AAA,2013J,Pass,270.0,80.0,0.0,0,0,0,0,Low Risk
277880,AAA,2013J,Withdrawn,177.0,68.0,100.0,0,0,1,1,Medium Risk
279572,AAA,2013J,Distinction,89.0,79.0,0.0,0,0,0,0,Low Risk
281022,AAA,2013J,Pass,57.0,74.0,40.0,1,0,1,2,High Risk
281250,AAA,2013J,Fail,13.0,57.0,0.0,1,0,0,1,Medium Risk
281589,AAA,2013J,Fail,3.0,,,1,1,1,3,Critical Risk
282821,AAA,2013J,Pass,269.0,61.0,60.0,0,0,1,1,Medium Risk
286488,AAA,2013J,Pass,135.0,73.0,60.0,0,0,1,1,Medium Risk
287548,AAA,2013J,Pass,23.0,70.0,20.0,1,0,0,1,Medium Risk
290201,AAA,2013J,Pass,156.0,72.0,20.0,0,0,0,0,Low Risk
290757,AAA,2013J,Pass,285.0,75.0,0.0,0,0,0,0,Low Risk
291334,AAA,2013J,Distinction,455.0,85.0,20.0,0,0,0,0,Low Risk
292923,AAA,2013J,Withdrawn,0.0,,,1,1,1,3,Critical Risk
293699,AAA,2013J,Pass,11.0,47.0,50.0,1,1,1,3,Critical Risk
294570,AAA,2013J,Pass,164.0,78.0,0.0,0,0,0,0,Low Risk
294594,AAA,2013J,Pass,88.0,53.0,0.0,0,1,0,1,Medium Risk
295741,AAA,2013J,Fail,67.0,52.0,20.0,1,1,0,2,High Risk
296332,AAA,2013J,Distinction,178.0,91.0,0.0,0,0,0,0,Low Risk
298696,AAA,2013J,Pass,63.0,85.0,20.0,1,0,0,1,Medium Risk
300398,AAA,2013J,Pass,261.0,79.0,20.0,0,0,0,0,Low Risk
302302,AAA,2013J,Fail,59.0,59.0,33.3,1,0,1,2,High Risk
305152,AAA,2013J,Fail,28.0,64.0,0.0,1,0,0,1,Medium Risk
305386,AAA,2013J,Pass,194.0,76.0,0.0,0,0,0,0,Low Risk
305539,AAA,2013J,Withdrawn,0.0,,,1,1,1,3,Critical Risk
306107,AAA,2013J,Pass,69.0,62.0,0.0,1,0,0,1,Medium Risk
306466,AAA,2013J,Pass,108.0,81.0,0.0,0,0,0,0,Low Risk
306897,AAA,2013J,Pass,275.0,72.0,20.0,0,0,0,0,Low Risk
307061,AAA,2013J,Pass,133.0,82.0,0.0,0,0,0,0,Low Risk
